"intratherm_id","genus_species","genus","species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","Home.range.size_Km2","logic.source_for_Home.range.size","lifespan_days","lifespan_days_reference","Notes","is.nocturnal","is.nocturnal_source","seasonal","annual","interannual","total","proportion_seasonal","proportion_annual","proportion_interannual"
290,"Anolis roquet","Anolis","roquet","Chordata","Reptilia","Squamata","Dactyloidae","FV","Hertz_1981","intratherm_team","Anolis roquet_14.79_500_-61.14",25,14.79,-61.14,"","Anolis","roquet","Petite Savane, Martinique",10,35.5,"tmax",0.2,"SE",11,"critical","loss_righting_responses","1",NA,NA,"held","summer",500,"Adult","Only subspecies A. r. summus",NA,NA,"Terrestrial","14-Oct","days",NA,"318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","Y","0-1","MOVEMENT: authors implied that dispersal distance of 1km more likely than 10km (https://doi.org/10.1111/j.1365-294X.2008.03923.x)",NA,"8.6","SVL 86mm (Schwartz A & Henderson RW (1991) Amphibians and Reptiles of the West Indies. Descriptions+ Distributions and Natural History. University of Florida Press+ Gainesville.)","5.23","52.3mm (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)",NA,NA,NA,"","no dormancy reported","non-migratory",NA,NA,NA,NA,"Nikki","unk",NA,"2445.5","6.7 years (AnAge)",NA,"N","https://doi.org/10.1093/sysbio/syx029",0.318105082738629,0.71752731525691,0.221798346666379,1.25743074466192,0.252980201167387,0.570629689390829,0.176390109441783
291,"Anolis roquet","Anolis","roquet","Chordata","Reptilia","Squamata","Dactyloidae","FV","Hertz_1981","intratherm_team","Anolis roquet_14.8_650_-61.14",25,14.8,-61.14,"","Anolis","roquet","Morne Calebasse, Martinique",10,35.2,"tmax",0.2,"SE",9,"critical","loss_righting_responses","1",NA,NA,"held","summer",650,"Adult","Only subspecies A. r. summus",NA,NA,"Terrestrial","14-Oct","days",NA,"318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","Y","0-1","MOVEMENT: authors implied that dispersal distance of 1km more likely than 10km (https://doi.org/10.1111/j.1365-294X.2008.03923.x)",NA,"8.6","SVL 86mm (Schwartz A & Henderson RW (1991) Amphibians and Reptiles of the West Indies. Descriptions+ Distributions and Natural History. University of Florida Press+ Gainesville.)","5.23","52.3mm (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)",NA,NA,NA,"","no dormancy reported","non-migratory",NA,NA,NA,NA,"Nikki","unk",NA,"2445.5","6.7 years (AnAge)",NA,"N","https://doi.org/10.1093/sysbio/syx029",0.318105082738629,0.71752731525691,0.221798346666379,1.25743074466192,0.252980201167387,0.570629689390829,0.176390109441783
292,"Anolis roquet","Anolis","roquet","Chordata","Reptilia","Squamata","Dactyloidae","FV","Hertz_1981","intratherm_team","Anolis roquet_14.81_350_-61.12",24,14.81,-61.12,"","Anolis","roquet","Habitation Eden, Martinique",10,35.9,"tmax",0.2,"SE",8,"critical","loss_righting_responses","1",NA,NA,"held","summer",350,"Adult","Only subspecies A. r. summus",NA,NA,"Terrestrial","14-Oct","days",NA,"318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","Y","0-1","MOVEMENT: authors implied that dispersal distance of 1km more likely than 10km (https://doi.org/10.1111/j.1365-294X.2008.03923.x)",NA,"8.6","SVL 86mm (Schwartz A & Henderson RW (1991) Amphibians and Reptiles of the West Indies. Descriptions+ Distributions and Natural History. University of Florida Press+ Gainesville.)","5.23","52.3mm (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)",NA,NA,NA,"","no dormancy reported","non-migratory",NA,NA,NA,NA,"Nikki","unk",NA,"2445.5","6.7 years (AnAge)",NA,"N","https://doi.org/10.1093/sysbio/syx029",0.318105082738629,0.71752731525691,0.221798346666379,1.25743074466192,0.252980201167387,0.570629689390829,0.176390109441783
293,"Anolis roquet","Anolis","roquet","Chordata","Reptilia","Squamata","Dactyloidae","FV","Hertz_1981","intratherm_team","Anolis roquet_14.82_175_-61.11",25,14.82,-61.11,"","Anolis","roquet","Habitation Ajoupa, Martinique",10,35.9,"tmax",0.2,"SE",7,"critical","loss_righting_responses","1",NA,NA,"held","summer",175,"Adult","Two subspecies collected : A. roquet summus & A. roquet majolgris",NA,NA,"Terrestrial","14-Oct","days",NA,"318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","Y","0-1","MOVEMENT: authors implied that dispersal distance of 1km more likely than 10km (https://doi.org/10.1111/j.1365-294X.2008.03923.x)",NA,"8.6","SVL 86mm (Schwartz A & Henderson RW (1991) Amphibians and Reptiles of the West Indies. Descriptions+ Distributions and Natural History. University of Florida Press+ Gainesville.)","5.23","52.3mm (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)",NA,NA,NA,"","no dormancy reported","non-migratory",NA,NA,NA,NA,"Nikki","unk",NA,"2445.5","6.7 years (AnAge)",NA,"N","https://doi.org/10.1093/sysbio/syx029",0.318105082738629,0.71752731525691,0.221798346666379,1.25743074466192,0.252980201167387,0.570629689390829,0.176390109441783
294,"Anolis roquet","Anolis","roquet","Chordata","Reptilia","Squamata","Dactyloidae","FV","Hertz_1981","intratherm_team","Anolis roquet_14.85_20_-61.09",25,14.85,-61.09,"","Anolis","roquet","Anse Clavet, Martinique",10,36,"tmax",0.1,"SE",7,"critical","loss_righting_responses","1",NA,NA,"held","summer",20,"Adult","Two subspecies collected : A. roquet summus & A. roquet majolgris",NA,NA,"Terrestrial","14-Oct","days",NA,"318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","318","mean age at sexual maturity 10.6 months (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)","Y","0-1","MOVEMENT: authors implied that dispersal distance of 1km more likely than 10km (https://doi.org/10.1111/j.1365-294X.2008.03923.x)",NA,"8.6","SVL 86mm (Schwartz A & Henderson RW (1991) Amphibians and Reptiles of the West Indies. Descriptions+ Distributions and Natural History. University of Florida Press+ Gainesville.)","5.23","52.3mm (https://biology.ucr.edu/people/faculty/Garland/ClobEA98.pdf)",NA,NA,NA,"","no dormancy reported","non-migratory",NA,NA,NA,NA,"Nikki","unk",NA,"2445.5","6.7 years (AnAge)",NA,"N","https://doi.org/10.1093/sysbio/syx029",0.318105082738629,0.71752731525691,0.221798346666379,1.25743074466192,0.252980201167387,0.570629689390829,0.176390109441783
3006,"Anolis cybotes","Anolis","cybotes","Chordata","Reptilia","Squamata","Dactyloidae","Nikki","Munoz_et_al_2013","intratherm_team","Anolis cybotes_17.96_45_-71.19",19.4,17.96,-71.19,"extracted","Anolis","cybotes","Los Patos",21,10.6,"tmin",0.3,"SE",19,"critical","lower_critical_limit","1",NA,NA,"FF","summer",45,"Adult",NA,NA,NA,"Terrestrial","3","weeks",NA,"unk",NA,"unk",NA,NA,"unk",NA,NA,"unk",NA,"4.678","46.78mm SVL (CAST, E.E., Gifford, M.E., Schneider, K.R., Hardwick, A.J., Parmerlee, J.S., & Powell., R.F. Natural History of an Anoline Lizard Community in the Sierra de Baoruco , Dominican Republic.)","5.506","55.06mm SVL (CAST, E.E., Gifford, M.E., Schneider, K.R., Hardwick, A.J., Parmerlee, J.S., & Powell., R.F. Natural History of an Anoline Lizard Community in the Sierra de Baoruco , Dominican Republic.)","","","no dormancy reported","non-migratory","none mentioned in life history  (CAST, E.E., Gifford, M.E., Schneider, K.R., Hardwick, A.J., Parmerlee, J.S., & Powell., R.F. Natural History of an Anoline Lizard Community in the Sierra de Baoruco , Dominican Republic.)",NA,NA,NA,"Nikki","unk",NA,"unk",NA,NA,"N","http://www.anapsid.org/anole.html",0.369648086935613,1.36725168275824,0.21180892165262,1.94870869134647,0.189688735200438,0.70161932813751,0.108691936662052
3007,"Anolis armouri","Anolis","armouri","Chordata","Reptilia","Squamata","Dactyloidae","Nikki","Munoz_et_al_2013","intratherm_team","Anolis armouri_18.3_2020_-71.7",23,18.3,-71.7,"extracted","Anolis","armouri","Loma de Toro low",1,8.2,"tmin",0.6,"SE",9,"critical","lower_critical_limit","0.94",NA,NA,"FF","summer",2020,"Adult",NA,NA,NA,"Terrestrial","1","days",NA,"unk",NA,"unk",NA,NA,"unk",NA,NA,"6.7","67mm SVL(https://repositories.lib.utexas.edu/bitstream/handle/2152/44767/0607_Anolis_armouri.pdf?sequence=1)",NA,NA,NA,NA,NA,"","no dormancy reported","non-migratory","none mentioned in life history (https://repositories.lib.utexas.edu/bitstream/handle/2152/44767/0607_Anolis_armouri.pdf?sequence=1)",NA,NA,NA,"Nikki","unk",NA,"unk",NA,NA,"N","https://lososlab.oeb.harvard.edu/files/lososlab/files/newsletter_v.pdf",0.500884058128814,1.71531976432506,0.214798963340472,2.43100278579435,0.206040100429234,0.705601727134413,0.0883581724363533
3008,"Anolis armouri","Anolis","armouri","Chordata","Reptilia","Squamata","Dactyloidae","Nikki","Munoz_et_al_2013","intratherm_team","Anolis armouri_18.29_2318_-71.71",23,18.29,-71.71,"extracted","Anolis","armouri","Loma de Toro high",1,7.2,"tmin",0.4,"SE",12,"critical","lower_critical_limit","0.93",NA,NA,"FF","summer",2318,"Adult",NA,NA,NA,"Terrestrial","1","days",NA,"unk",NA,"unk",NA,NA,"unk",NA,NA,"6.7","67mm SVL(https://repositories.lib.utexas.edu/bitstream/handle/2152/44767/0607_Anolis_armouri.pdf?sequence=1)",NA,NA,NA,NA,NA,"","no dormancy reported","non-migratory","none mentioned in life history (https://repositories.lib.utexas.edu/bitstream/handle/2152/44767/0607_Anolis_armouri.pdf?sequence=1)",NA,NA,NA,"Nikki","unk",NA,"unk",NA,NA,"N","https://lososlab.oeb.harvard.edu/files/lososlab/files/newsletter_v.pdf",0.500884058128814,1.71531976432506,0.214798963340472,2.43100278579435,0.206040100429234,0.705601727134413,0.0883581724363533
3009,"Anolis armouri","Anolis","armouri","Chordata","Reptilia","Squamata","Dactyloidae","Nikki","Munoz_et_al_2013","intratherm_team","Anolis armouri_18.29_2318_-71.71",19.4,18.29,-71.71,"extracted","Anolis","armouri","Loma de Toro high",21,7.2,"tmin",0.3,"SE",18,"critical","lower_critical_limit","1",NA,NA,"FF","summer",2318,"Adult",NA,NA,NA,"Terrestrial","3","weeks",NA,"unk",NA,"unk",NA,NA,"unk",NA,NA,"6.7","67mm SVL(https://repositories.lib.utexas.edu/bitstream/handle/2152/44767/0607_Anolis_armouri.pdf?sequence=1)",NA,NA,NA,NA,NA,"","no dormancy reported","non-migratory","none mentioned in life history (https://repositories.lib.utexas.edu/bitstream/handle/2152/44767/0607_Anolis_armouri.pdf?sequence=1)",NA,NA,NA,"Nikki","unk",NA,"unk",NA,NA,"N","https://lososlab.oeb.harvard.edu/files/lososlab/files/newsletter_v.pdf",0.500884058128814,1.71531976432506,0.214798963340472,2.43100278579435,0.206040100429234,0.705601727134413,0.0883581724363533
3010,"Anolis cybotes","Anolis","cybotes","Chordata","Reptilia","Squamata","Dactyloidae","Nikki","Munoz_et_al_2013","intratherm_team","Anolis cybotes_17.96_45_-71.19",23,17.96,-71.19,"extracted","Anolis","cybotes","Los Patos",1,11.3,"tmin",0.4,"SE",16,"critical","lower_critical_limit","0.99",NA,NA,"FF","summer",45,"Adult",NA,NA,NA,"Terrestrial","1","days",NA,"unk",NA,"unk",NA,NA,"unk",NA,NA,"unk",NA,"4.678","46.78mm SVL (CAST, E.E., Gifford, M.E., Schneider, K.R., Hardwick, A.J., Parmerlee, J.S., & Powell., R.F. Natural History of an Anoline Lizard Community in the Sierra de Baoruco , Dominican Republic.)","5.506","55.06mm SVL (CAST, E.E., Gifford, M.E., Schneider, K.R., Hardwick, A.J., Parmerlee, J.S., & Powell., R.F. Natural History of an Anoline Lizard Community in the Sierra de Baoruco , Dominican Republic.)","","","no dormancy reported","non-migratory","none mentioned in life history  (CAST, E.E., Gifford, M.E., Schneider, K.R., Hardwick, A.J., Parmerlee, J.S., & Powell., R.F. Natural History of an Anoline Lizard Community in the Sierra de Baoruco , Dominican Republic.)",NA,NA,NA,"Nikki","unk",NA,"unk",NA,NA,"N","http://www.anapsid.org/anole.html",0.369648086935613,1.36725168275824,0.21180892165262,1.94870869134647,0.189688735200438,0.70161932813751,0.108691936662052
