"genus_species","genus","species","subspecies","phylum","class","order","family","group","lifespan","source"
"Lestes congener","Lestes","congener","","Arthropoda","Insecta","Odonata","Lestidae","Damselflies",NA,NA
"Lestes disjunctus","Lestes","disjunctus","","Arthropoda","Insecta","Odonata","Lestidae","Damselflies",NA,NA
"Lestes rectangularis","Lestes","rectangularis","","Arthropoda","Insecta","Odonata","Lestidae","Damselflies",NA,NA
"Lestes unguiculatus","Lestes","unguiculatus","","Arthropoda","Insecta","Odonata","Lestidae","Damselflies",NA,NA
"Calopteryx maculata","Calopteryx","maculata","","Arthropoda","Insecta","Odonata","Calopterygidae","Damselflies",NA,NA
"Argia apicalis","Argia","apicalis","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Argia fumipennis","Argia","fumipennis","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Enallagma civile","Enallagma","civile","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Enallagma ebrium","Enallagma","ebrium","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Enallagma traviatum","Enallagma","traviatum","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Ischnura hastata","Ischnura","hastata","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Ischnura posita","Ischnura","posita","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Ischnura verticalis","Ischnura","verticalis","","Arthropoda","Insecta","Odonata","Coenagrionidae","Damselflies",NA,NA
"Anax junius","Anax","junius","","Arthropoda","Insecta","Odonata","Aeshnidae","Dragonflies",NA,NA
"Arigomphus villosipes","Arigomphus","villosipes","","Arthropoda","Insecta","Odonata","Gomphidae","Dragonflies",NA,NA
"Epitheca princeps","Epitheca","princeps","","Arthropoda","Insecta","Odonata","Corduliidae","Dragonflies",NA,NA
"Erythemis simplicicollis","Erythemis","simplicicollis","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Libellula luctuosa","Libellula","luctuosa","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Libellula pulchella","Libellula","pulchella","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Libelluls vibrans","Libelluls","vibrans","",NA,NA,NA,NA,"Dragonflies",NA,NA
"Pachydiplax longipennis","Pachydiplax","longipennis","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Perithemis tenera","Perithemis","tenera","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Plathemis lydia","Plathemis","lydia","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Sympetrum corruptum","Sympetrum","corruptum","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
