## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2020-05-29T17:22:27.831Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Temperature data from 1-12 Jan 2015, University of Victoria, Canada, Downloaded on 29 May 2020"  / Citation Title
#METADATF:  BarkleyCanyon_BarkleyCanyonMid-East_ConductivityTemperatureDepth_Temperature_20150101T000036Z_20150112T233836Z-NaN_clean_CSV_META.pdf  / Metadata file name
#SEARCHID:  13864581                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-NortheastPacificOcean-BarkleyCanyon-BarkleyCanyonMid-East  / Station Name 
#STNCODE:   BACME                                / Station Code 
#LATITUDE:     48.314913                         / Latitude North
#LONGITUDE:  -126.058465                         / Longitude East
#DEPTH:       896.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2015-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE16plus V2 6813"   / Device Name of Device 1
#DEVCODE1:  SBECTD16p6813                        / Device Code of Device 1
#DEVID1:    10601                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2015-01-01T00:00:36.056Z             / Data Start Time
#DATETO:    2015-01-12T23:38:36.031Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2011-04-26T21:29:51.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: "No resampling"                      / Resample Period (s)
#RESAMPTYP: "No resampling"                      / Resample Type
#RESAMPMIN: "No resampling"  / Minimum percent valid data per resample
#RESAMPDCR: "No resampling"                      / Resample Description
#TOTSAMPLE: 17240                                / Samples in File
#TOTSMPEXP: 17258                                / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Temperature (C)", "Temperature QC Flag"  
## END HEADER
2015-01-01T00:00:36.056Z, 3.7035, 1
2015-01-01T00:01:36.057Z, 3.7056, 1
2015-01-01T00:02:36.058Z, 3.708, 1
2015-01-01T00:03:36.057Z, 3.7088, 1
2015-01-01T00:04:36.058Z, 3.7087, 1
2015-01-01T00:05:36.057Z, 3.7099, 1
2015-01-01T00:06:36.057Z, 3.7115, 1
2015-01-01T00:07:36.058Z, 3.7132, 1
2015-01-01T00:08:36.058Z, 3.713, 1
2015-01-01T00:09:36.057Z, 3.7162, 1
2015-01-01T00:10:36.057Z, 3.7177, 1
2015-01-01T00:11:36.057Z, 3.718, 1
2015-01-01T00:12:36.058Z, 3.721, 1
2015-01-01T00:13:36.057Z, 3.7212, 1
2015-01-01T00:14:36.057Z, 3.7212, 1
2015-01-01T00:15:36.057Z, 3.721, 1
2015-01-01T00:16:36.057Z, 3.7212, 1
2015-01-01T00:17:36.058Z, 3.7214, 1
2015-01-01T00:18:36.057Z, 3.7234, 1
2015-01-01T00:19:36.058Z, 3.724, 1
2015-01-01T00:20:36.058Z, 3.7231, 1
2015-01-01T00:21:36.058Z, 3.7261, 1
2015-01-01T00:22:36.059Z, 3.7253, 1
2015-01-01T00:23:36.056Z, 3.7318, 1
2015-01-01T00:24:36.057Z, 3.7294, 1
2015-01-01T00:25:36.057Z, 3.7332, 1
2015-01-01T00:26:36.057Z, 3.7327, 1
2015-01-01T00:27:36.057Z, 3.7347, 1
2015-01-01T00:28:36.058Z, 3.736, 1
2015-01-01T00:29:36.058Z, 3.7361, 1
2015-01-01T00:30:36.057Z, 3.7376, 1
2015-01-01T00:31:36.058Z, 3.7385, 1
2015-01-01T00:32:36.059Z, 3.7402, 1
2015-01-01T00:33:36.058Z, 3.7422, 1
2015-01-01T00:34:36.058Z, 3.7419, 1
2015-01-01T00:35:36.058Z, 3.7468, 1
2015-01-01T00:36:36.058Z, 3.7483, 1
2015-01-01T00:37:36.057Z, 3.7497, 1
2015-01-01T00:38:36.056Z, 3.7514, 1
2015-01-01T00:39:36.057Z, 3.7504, 1
2015-01-01T00:40:36.030Z, 3.7515, 1
2015-01-01T00:41:36.058Z, 3.7497, 1
2015-01-01T00:42:36.058Z, 3.751, 1
2015-01-01T00:43:36.057Z, 3.7511, 1
2015-01-01T00:44:36.058Z, 3.7516, 1
2015-01-01T00:45:36.058Z, 3.752, 1
2015-01-01T00:46:36.058Z, 3.7529, 1
2015-01-01T00:47:36.058Z, 3.7538, 1
2015-01-01T00:48:36.058Z, 3.7543, 1
2015-01-01T00:49:36.058Z, 3.7551, 1
2015-01-01T00:50:36.056Z, 3.7565, 1
2015-01-01T00:51:36.058Z, 3.7586, 1
2015-01-01T00:52:36.057Z, 3.7635, 1
2015-01-01T00:53:36.057Z, 3.7624, 1
2015-01-01T00:54:36.058Z, 3.7657, 1
2015-01-01T00:55:36.058Z, 3.7644, 1
2015-01-01T00:56:36.057Z, 3.7668, 1
2015-01-01T00:57:36.058Z, 3.766, 1
2015-01-01T00:58:36.058Z, 3.7666, 1
2015-01-01T00:59:36.058Z, 3.7671, 1
