gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2557504757,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:716703,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31026,-126.06529,100,,,,849,0,2006-08-12T00:00:00,12,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.894Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557503905,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:707956,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31021,-126.06513,100,,,,848,0,2006-08-12T00:00:00,12,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:17.082Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557501441,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:723874,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Staurocalyptus,,,GENUS,Staurocalyptus Ijima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557499755,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:716702,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31068,-126.06563,100,,,,866,0,2006-08-12T00:00:00,12,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.807Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557498934,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:708305,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.3102,-126.06517,100,,,,849,0,2006-08-11T00:00:00,11,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.774Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557496648,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:715864,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.30893,-126.06152,100,,,,891,0,2009-08-05T00:00:00,5,8,2009,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.736Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557496628,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:715666,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31051,-126.06545,100,,,,857,0,2006-08-16T00:00:00,16,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.735Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557495907,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:708303,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31095,-126.06512,100,,,,856,0,2006-08-17T00:00:00,17,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.707Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557495543,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:714839,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31038,-126.06513,100,,,,864,0,2009-07-14T00:00:00,14,7,2009,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.711Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2557494912,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:708304,Animalia,Porifera,,,,,,,PHYLUM,Porifera,Porifera,,CA,,,Present,1,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31076,-126.06505,100,,,,854,0,2006-08-11T00:00:00,11,8,2006,105,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:37:03.686Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
