group,family,genus,species,subspecies
Damselflies,Lestidae,Lestes,congener,
Damselflies,Lestidae,Lestes,disjunctus,
Damselflies,Lestidae,Lestes,rectangularis,
Damselflies,Lestidae,Lestes,unguiculatus,
Damselflies,Calopterygidae,Calopteryx,maculata,
Damselflies,Coenagrionidae,Argia,apicalis,
Damselflies,Coenagrionidae,Argia,fumipennis,
Damselflies,Coenagrionidae,Enallagma,civile,
Damselflies,Coenagrionidae,Enallagma,ebrium,
Damselflies,Coenagrionidae,Enallagma,traviatum,
Damselflies,Coenagrionidae,Ischnura,hastata,
Damselflies,Coenagrionidae,Ischnura,posita,
Damselflies,Coenagrionidae,Ischnura,verticalis,
Dragonflies,Aeshnidae,Anax,junius,
Dragonflies,Gomphidae,Arigomphus,villosipes,
Dragonflies,Corduliidae,Epitheca,princeps,
Dragonflies,Libellulidae,Erythemis,simplicicollis,
Dragonflies,Libellulidae,Libellula,luctuosa,
Dragonflies,Libellulidae,Libellula,pulchella,
Dragonflies,Libellulidae,Libelluls,vibrans,
Dragonflies,Libellulidae,Pachydiplax,longipennis,
Dragonflies,Libellulidae,Perithemis,tenera,
Dragonflies,Libellulidae,Plathemis,lydia,
Dragonflies,Libellulidae,Sympetrum,corruptum,
Dragonflies,Libellulidae,Sympetrum,rubicundulum,
Dragonflies,Libellulidae,Sympetrum,semicinctum,
Dragonflies,Libellulidae,Sympetrum,vicinum,
Dragonflies,Libellulidae,Tramea,lacerata,
Dragonflies,Libellulidae,Tramea,onusta,
Amphibia,Caudata,Ambystoma,tigrinum,
Amphibia,Caudata,Ambystoma,laterale/jeffersonianum,
Amphibia,Anura,Bufo,americanus,americanus
Amphibia,Anura,Acris,crepitans,
Amphibia,Anura,Pseudacris,triseriata,
Amphibia,Anura,Hyla,versicolor,
Amphibia,Anura,Rana,clamitans,melanota
Amphibia,Anura,Rana,catesbeiana,
Amphibia,Anura,Rana,pipiens,
Reptilia,Chelonia,Chelydra,serpentina,serpentina
Reptilia,Chelonia,Chrysemys,picta,marginata
Reptilia,Lacertilia,Eumeces,fasciatus,
Reptilia,Serpentes,Thamnophis,sirtalis,sirtalis
Reptilia,Serpentes,Nerodia,sipedon,sipedon
Reptilia,Serpentes,Storeria,dekayi,wrightorum
Stoneflies,Sciomyzidae,Dictya,expansa,
Stoneflies,Sciomyzidae,Dictya,pictipes,
Stoneflies,Sciomyzidae,Dictya,sabroskyi,
Stoneflies,Sciomyzidae,Dictya,spp.,
Stoneflies,Sciomyzidae,Ditaeniella,parallela,
Stoneflies,Sciomyzidae,Ditaeniella,trivitatta,
Stoneflies,Sciomyzidae,Limnia,boscii,
Stoneflies,Sciomyzidae,Pherbellia,nana,nana
Stoneflies,Sciomyzidae,Pherbellia,seticoxa,
Stoneflies,Sciomyzidae,Sepedon,armipes,
Stoneflies,Sciomyzidae,Sepedon,fuscipennis,
Stoneflies,Sciomyzidae,Tetanocera,loewi,
Butterflies,Danaidae,Danaus,plexippus,
Butterflies,Hesperiidae,Epargyreus,clarus,
Butterflies,Limenitidinae,Limenitis,archippus,
Butterflies,Limenitidinae,Limenitis,arthemis,astyanax
Butterflies,Lycaenidae,Celastrina,argiolus,
Butterflies,Lycaenidae,Celastrina,neglecta,
Butterflies,Lycaenidae,Everes,comyntas,
Butterflies,Lycaenidae,Lycaena,hyllus,
Butterflies,Lycaenidae,Satyrium,liparops,
Butterflies,Nymphalidae,Asterocampa,celtis,
Butterflies,Nymphalidae,Euphydryas,gilletti,
Butterflies,Nymphalidae,Nymphalis,antiopa,
Butterflies,Nymphalidae,Phyciodes,tharos,
Butterflies,Nymphalidae,Polygonia,comma,
Butterflies,Nymphalidae,Polygonia,interrogationis,
Butterflies,Nymphalidae,Speyeria,cybele,
Butterflies,Nymphalidae,Vanessa,atalanta,
Butterflies,Papilionidae,Papilio,cresphontes,
Butterflies,Papilionidae,Papilio,glaucus,
Butterflies,Pieridae,Colias,eurytheme,
Butterflies,Pieridae,Colias,philodice,
Butterflies,Pieridae,Pieris,rapae,
Butterflies,Satyridae,Megisto,cymela,
Moths,Lymantriidae,Orgyia,leucostigma,
Mammals,,Didelphus,virginiana,
Mammals,,Microtus,pennsylvanicus,
Mammals,,Odocoileus,virginicus,
Mammals,,Scalopus,aquaticus,
Mammals,,Sciurus,niger,
Bees,,Apis,mellifera,
Bees,,Xylocopa,virginiana,
Insects,,Boisea,trivittata,
Insects,,Mycetophila,sp.,
