genus_species,genus,species,subspecies,phylum,class,order,family,group,lifespan,source,notes,larval_realm
Lestes congener,Lestes,congener,,Arthropoda,Insecta,Odonata,Lestidae,Damselflies,48,"Córdoba-Aguilar, 2008",family,aquatic
Lestes disjunctus,Lestes,disjunctus,,Arthropoda,Insecta,Odonata,Lestidae,Damselflies,74,"Bick & Bick, 1961",,aquatic
Lestes rectangularis,Lestes,rectangularis,,Arthropoda,Insecta,Odonata,Lestidae,Damselflies,42,"Gower & Kormondy, 1963",,aquatic
Lestes unguiculatus,Lestes,unguiculatus,,Arthropoda,Insecta,Odonata,Lestidae,Damselflies,48,"Córdoba-Aguilar, 2008",family,aquatic
Calopteryx maculata,Calopteryx,maculata,,Arthropoda,Insecta,Odonata,Calopterygidae,Damselflies,47,"Waage, 1972",,aquatic
Argia apicalis,Argia,apicalis,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,33,"Bick & Bick, 1965",,aquatic
Argia fumipennis,Argia,fumipennis,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,34,"Córdoba-Aguilar, 2008",family,aquatic
Enallagma civile,Enallagma,civile,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,13,"Bick & Bick, 1963",,aquatic
Enallagma ebrium,Enallagma,ebrium,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,34,"Córdoba-Aguilar, 2008",family,aquatic
Enallagma traviatum,Enallagma,traviatum,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,34,"Córdoba-Aguilar, 2008",family,aquatic
Ischnura hastata,Ischnura,hastata,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,5.74,"Lorenzo-Carballa et al., 2009",average,aquatic
Ischnura posita,Ischnura,posita,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,9,"Robinson, 1983",,aquatic
Ischnura verticalis,Ischnura,verticalis,,Arthropoda,Insecta,Odonata,Coenagrionidae,Damselflies,21,"Richardson & Baker, 1997",,aquatic
Anax junius,Anax,junius,,Arthropoda,Insecta,Odonata,Aeshnidae,Dragonflies,30,ADW,,aquatic
Arigomphus villosipes,Arigomphus,villosipes,,Arthropoda,Insecta,Odonata,Gomphidae,Dragonflies,70,"Bried, 2005",general max for dragonflies,aquatic
Epitheca princeps,Epitheca,princeps,,Arthropoda,Insecta,Odonata,Corduliidae,Dragonflies,14,ADW,adult,aquatic
Erythemis simplicicollis,Erythemis,simplicicollis,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Libellula luctuosa,Libellula,luctuosa,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Libellula pulchella,Libellula,pulchella,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,10.64,"Boano & Rolando, 2003",mean,aquatic
Libelluls vibrans,Libelluls,vibrans,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Pachydiplax longipennis,Pachydiplax,longipennis,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,30,"McKinnon & May, 1994",,aquatic
Perithemis tenera,Perithemis,tenera,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Plathemis lydia,Plathemis,lydia,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,6,"Koenig & Albano, 1965",median,aquatic
Sympetrum corruptum,Sympetrum,corruptum,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,87,ADW,adult life,aquatic
Sympetrum rubicundulum,Sympetrum,rubicundulum,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Sympetrum semicinctum,Sympetrum,semicinctum,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Sympetrum vicinum,Sympetrum,vicinum,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,365,"Wissinger, 1998",estimate,aquatic
Tramea lacerata,Tramea,lacerata,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
Tramea onusta,Tramea,onusta,,Arthropoda,Insecta,Odonata,Libellulidae,Dragonflies,54,"Córdoba-Aguilar, 2008",family,aquatic
